Title;Scrapping Date;Article Date;Author;Link;Content
Garuda Indonesia (GIAA) Siapkan Skema Tender Offer untuk Lunasi Surat Utang dan Sukuk;2024-08-21T14:36:08.535Z;;;https://businessnews.co.id/2023/12/05/garuda-indonesia-giaa-siapkan-skema-tender-offer-untuk-lunasi-surat-utang-dan-sukuk/;
Sekuritas Rupiah Bank Indonesia Kompetisi Pasar Surat Utang Jangka Pendek Semakin Ketat;2024-08-21T14:36:08.536Z;;;https://businessnews.co.id/2023/09/06/sekuritas-rupiah-bank-indonesia-kompetisi-pasar-surat-utang-jangka-pendek-semakin-ketat/;
Sri Mulyani: 4.247 Proyek Dibiayai Surat Utang Syariah;2024-08-21T14:36:08.537Z;;;https://businessnews.co.id/2022/04/03/sri-mulyani-4-247-proyek-dibiayai-surat-utang-syariah/;
BI: Utang Luar Negeri RI Kuartal III-2023 Sebesar US$393,7 Miliar;2024-08-21T14:36:08.538Z;;;https://businessnews.co.id/2023/11/15/bi-utang-luar-negeri-ri-kuartal-iii-2023-sebesar-us3937-miliar/;
Utang Pemerintah Tembus Rp7.807,35 Triliun per Agustus 2023;2024-08-21T14:36:08.538Z;;;https://businessnews.co.id/2023/10/26/utang-pemerintah-tembus-rp7-80735-triliun-per-agustus-2023/;
Usai Bangkrut, Istaka Karya Bakal Jual Aset Demi Lunasi Utang;2024-08-21T14:36:08.539Z;;;https://businessnews.co.id/2023/08/24/usai-bangkrut-istaka-karya-bakal-jual-aset-untuk-lunasi-utang/;
Akselerasi Pengurusan Piutang Negara, Pemerintah Terbitkan PP 28 Tahun 2022;2024-08-21T14:36:08.539Z;;;https://businessnews.co.id/2022/09/19/akselerasi-pengurusan-piutang-negara-pemerintah-terbitkan-pp-28-tahun-2022/;
BI: Per Mei 2022, Utang Luar Negeri Indonesia Turun Jadi Rp 406,3 Miliar;2024-08-21T14:36:08.539Z;;;https://businessnews.co.id/2022/07/15/bi-per-mei-2022-utang-luar-negeri-indonesia-turun-jadi-rp-4063-miliar/;
BI: April 2022, Utang Luar Negeri Indonesia Menurun;2024-08-21T14:36:08.540Z;;;https://businessnews.co.id/2022/06/15/bi-april-2022-utang-luar-negeri-indonesia-menurun/;
Utang Pemerintah Bertambah, Para Pakar Buka Suara;2024-08-21T14:36:08.541Z;;;https://businessnews.co.id/2021/03/24/utang-pemerintah-bertambah-para-pakar-buka-suara/;
MNC Investama Pangkas Utang Hingga 65 Persen Melalui Skema Konversi Obligasi;2024-08-21T14:36:08.541Z;;;https://businessnews.co.id/2021/02/01/mnc-investama-pangkas-utang-hingga-65-persen-melalui-skema-konversi-obligasi/;
Utang Luar Negeri RI Capai 413,4 Miliar Dolar AS Per Oktober 2020;2024-08-21T14:36:08.542Z;;;https://businessnews.co.id/2020/12/15/utang-luar-negeri-ri-capai-4134-miliar-dolar-as-per-oktober-2020/;
Cara Investasi Reksa Dana untuk Pemula Demi Masa Depan;2024-08-21T14:36:08.542Z;;;https://businessnews.co.id/2024/04/20/investasi-reksa-dana-untuk-pemula-demi-masa-depan/;
Wamenkeu Bahas Komitmen Indonesia dalam Penanganan Perubahan Iklim di Hadapan Investor Eropa;2024-08-21T14:36:08.543Z;;;https://businessnews.co.id/2024/03/26/wamenkeu-bahas-komitmen-indonesia-dalam-penanganan-perubahan-iklim-di-hadapan-investor-eropa/;
Kurs Rupiah Terus Melemah, Ini Alasannya;2024-08-21T14:36:08.543Z;;;https://businessnews.co.id/2024/03/14/kurs-rupiah-terus-melemah-ini-alasannya/;
Fitch Ratings Pertahankan Peringkat Kredit RI BBB;2024-08-21T14:36:08.544Z;;;https://businessnews.co.id/2024/02/06/fitch-ratings-pertahankan-peringkat-kredit-ri-bbb/;
Optimalkan Pengelolaan Keuangan, IFG Jalin Kerjasama dengan Bank Mega dan BSI;2024-08-21T14:36:08.544Z;;;https://businessnews.co.id/2023/10/21/optimalkan-pengelolaan-keuangan-ifg-jalin-kerjasama-dengan-bank-mega-dan-bsi/;
Investasi pada Reksa Dana, Investor Tidak Dibebankan Pajak Secara Langsung;2024-08-21T14:36:08.545Z;;;https://businessnews.co.id/2023/09/24/investasi-pada-reksa-dana-investor-tidak-dibebankan-pajak-secara-langsung/;
Kewajiban Neto Posisi Investasi Internasional RI Kuartal II-2023 Turun;2024-08-21T14:36:08.546Z;;;https://businessnews.co.id/2023/09/19/kewajiban-neto-posisi-investasi-internasional-ri-kuartal-ii-2023-turun/;
Investor Tetap Optimistis di Tengah Ketidakpastian Global;2024-08-21T14:36:08.548Z;;;https://businessnews.co.id/2023/08/24/investor-tetap-optimistis-di-tengah-ketidakpastian-global/;
